
21.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 38.43dB                                     
22.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 27.02dB                                     
23.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.99dB                                    
24.football, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.81dB                                    
25.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 24.93dB                                      
26.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 12.75dB                                      
27.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 47.20dB                                     
28.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 45.83dB                                     
29.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 26.42dB                                      
30.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 14.88dB                                      
31.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 47.55dB                                     
32.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 46.08dB                                     
33.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 49.58dB                                      
34.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 41.00dB                                      
35.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 49.48dB                                     
36.football, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 48.60dB                                     
37.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 13.87dB                                     
38.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 11.40dB                                     
39.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 34.22dB                                    
40.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.80dB                                    
41.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 19.72dB                                     
42.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 13.13dB                                     
43.football, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 35.05dB                                    
